nohup: ignoring input
2026-08-19 01:24:25,325 | INFO | crypto_bot | Bot started | pair=ROBO-USDT | mode=monitor | equity=1000.00
2026-08-19 01:24:25,918 | INFO | crypto_bot.exchange_api | startup_self_check passed: {'time_drift': 'time_ok (drift=0.056s)', 'instrument_tradable': 'instrument_ok (inst_id=ROBO-USDT, state=live)', 'instrument_whitelist': 'whitelist_ok (inst_id=ROBO-USDT)', 'api_credentials': 'credentials_ok (account balance fetched, code=0)'}
2026-08-19 02:17:07,820 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:16:00+00:00 o=0.01281000 h=0.01281000 l=0.01281000 c=0.01281000 v=1144.20000000
2026-08-19 02:17:07,820 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:17:33,122 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:17:33.068000+00:00 price=0.01280000 size=19673.70000000
2026-08-19 02:17:33,123 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:17:33.069000+00:00 price=0.01280000 size=171000.00000000
2026-08-19 02:17:46,293 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:17:46.239000+00:00 price=0.01280000 size=128098.50000000
2026-08-19 02:17:46,293 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:17:46.239000+00:00 price=0.01280000 size=8041.80000000
2026-08-19 02:17:46,294 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:17:46.239000+00:00 price=0.01280000 size=520144.00000000
2026-08-19 02:18:14,106 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:18:14.053000+00:00 price=0.01278000 size=695.80000000
2026-08-19 02:18:14,106 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:17:00+00:00 o=0.01280000 h=0.01280000 l=0.01280000 c=0.01280000 v=862591.80000000
2026-08-19 02:18:14,107 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 02:18:20,864 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:18:20.805000+00:00 price=0.01279000 size=15526.80000000
2026-08-19 02:21:42,509 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T02:21:42.455000+00:00 price=0.01279000 size=36951.60000000
2026-08-19 02:21:42,509 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T02:18:00+00:00 o=0.01278000 h=0.01279000 l=0.01278000 c=0.01279000 v=16222.60000000
